ID_VIA_250,VALFIS,VUL,TIPO,SUPERFICIE,CALZADAS,LYR,REGION,LONG_KM,LS_B_A,LS_G26_30A,LS_G26_50A,LS_G45_30A,LS_G45_50A,LS_G70_30A,LS_G70_50A,LS_G85_30A,LS_G85_50A,LS_M26_30A,LS_M26_50A,LS_M45_30A,LS_M45_50A,LS_M70_30A,LS_M70_50A,LS_M85_30A,LS_M85_50A,FL_B_A,FL_G26_30A,FL_G26_50A,FL_G45_30A,FL_G45_50A,FL_G70_30A,FL_G70_50A,FL_G85_30A,FL_G85_50A,FL_M26_30A,FL_M26_50A,FL_M45_30A,FL_M45_50A,FL_M70_30A,FL_M70_50A,FL_M85_30A,FL_M85_50A,HU_B_A,HU_G26_30A,HU_G26_50A,HU_G45_30A,HU_G45_50A,HU_G70_30A,HU_G70_50A,HU_G85_30A,HU_G85_50A,HU_M26_30A,HU_M26_50A,HU_M45_30A,HU_M45_50A,HU_M70_30A,HU_M70_50A,HU_M85_30A,HU_M85_50A,DEPTO,ID_2,,,,,,,,,
ID_110457,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110458,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110459,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110460,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,707,716,729,709,755,733,738,742,750,715,726,720,710,751,714,724,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110461,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazonas,1,,,,,,,,,
ID_110462,187600,ROAD_T2_S1,Departamental,Sin Afirmar,1,RVD_simp,Selva,0.25,ID_626332,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151
ID_626333,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626334,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626335,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626336,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626337,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626338,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626339,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626340,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626341,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626342,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626343,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626344,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626345,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626346,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626347,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626348,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626349,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626350,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626351,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626352,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626353,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626354,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,323,340,355,327,350,353,346,340,355,320,341,310,325,326,311,317,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626355,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626356,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626357,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626358,156900,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626359,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,429,442,414,450,436,438,438,462,405,420,403,411,403,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626360,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,429,442,414,449,436,437,437,462,405,420,403,410,403,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626361,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,680,728,750,704,763,740,743,743,784,689,714,685,698,684,649,683,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626362,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,680,728,750,703,763,740,743,743,783,689,714,685,697,684,649,683,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626363,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,680,728,750,703,763,740,742,743,783,688,714,685,697,684,649,683,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626364,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,428,441,413,449,435,436,437,460,405,420,403,410,402,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626365,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,428,441,413,448,435,436,437,460,405,420,403,410,402,382,402,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626366,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626367,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,400,428,441,413,448,435,436,437,459,405,420,402,410,402,382,401,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626368,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,679,728,750,702,762,739,741,742,781,688,713,684,696,683,648,682,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626369,162100,ROAD_T3_S1,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,399,428,441,413,448,435,436,436,460,405,420,402,410,402,381,401,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626370,162100,ROAD_T3_S3,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,679,727,749,702,761,739,741,741,781,688,713,684,697,683,648,682,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626371,162100,ROAD_T3_S3,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,678,727,749,701,761,738,741,741,781,688,713,684,697,683,648,682,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626372,162100,ROAD_T3_S3,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,678,727,748,701,761,738,741,741,781,688,713,683,697,683,647,681,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626373,162100,ROAD_T3_S2,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,678,726,748,701,761,737,740,740,781,688,713,683,697,683,647,681,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626374,162100,ROAD_T3_S3,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,678,726,748,701,761,737,740,740,781,689,713,683,697,683,647,681,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
ID_626375,162100,ROAD_T3_S3,Vecinal,Sin Informacion,1,RVV_simp,Selva,0.25,677,726,747,701,760,736,740,740,780,689,713,683,697,683,646,681,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasco,151,,,,,,,,,
